,0,1,2,3
0,0.0027042085,0.0028562897,0.0033188646,0.99112064
1,0.0027042085,0.0028562897,0.0033188646,0.99112064
2,0.0025865363,0.0027319998,0.9921044,0.0025770864
3,0.0025270851,0.9923753,0.0025797084,0.0025178522
4,0.9916289,0.0030595933,0.0026879767,0.002623526
5,0.9916289,0.0030595933,0.0026879767,0.002623526
6,0.0025270851,0.9923753,0.0025797084,0.0025178522
7,0.0025865363,0.0027319998,0.9921044,0.0025770864
8,0.0025865363,0.0027319998,0.9921044,0.0025770864
9,0.0025270851,0.9923753,0.0025797084,0.0025178522
10,0.9916289,0.0030595933,0.0026879767,0.002623526
11,0.9916289,0.0030595933,0.0026879767,0.002623526
12,0.0025865363,0.0027319998,0.9921044,0.0025770864
13,0.0025270851,0.9923753,0.0025797084,0.0025178522
14,0.0025270851,0.9923753,0.0025797084,0.0025178522
15,0.0027042085,0.0028562897,0.0033188646,0.99112064
16,0.0025865363,0.0027319998,0.9921044,0.0025770864
17,0.0025865363,0.0027319998,0.9921044,0.0025770864
18,0.0025270851,0.9923753,0.0025797084,0.0025178522
19,0.0025270851,0.9923753,0.0025797084,0.0025178522
20,0.0025270851,0.9923753,0.0025797084,0.0025178522
21,0.0025270851,0.9923753,0.0025797084,0.0025178522
22,0.0025270851,0.9923753,0.0025797084,0.0025178522
23,0.9916289,0.0030595933,0.0026879767,0.002623526
24,0.0025270851,0.9923753,0.0025797084,0.0025178522
25,0.0025270851,0.9923753,0.0025797084,0.0025178522
26,0.0025865363,0.0027319998,0.9921044,0.0025770864
27,0.0025270851,0.9923753,0.0025797084,0.0025178522
28,0.0025270851,0.9923753,0.0025797084,0.0025178522
29,0.0027042085,0.0028562897,0.0033188646,0.99112064
30,0.0025270851,0.9923753,0.0025797084,0.0025178522
31,0.0027042085,0.0028562897,0.0033188646,0.99112064
32,0.9916289,0.0030595933,0.0026879767,0.002623526
33,0.9916289,0.0030595933,0.0026879767,0.002623526
34,0.0027042085,0.0028562897,0.0033188646,0.99112064
